Dataset,Subject/Notes,Samples (N),Pearson r,Pearson p-value,Spearman ρ,Spearman p-value,R²,Quadratic Weighted Kappa,MAE,RMSE,Mean Human Score,Mean System Score,Exact Match Rate,Within ±1 Point,Within ±2 Points
"GSM8K Math Word Problems (200 samples, 0-100 scale)",math,200,0.9514,0.0000,0.9203,0.0000,0.8512,0.9154,9.6181,13.6722,67.5000,74.8900,15.50%,22.50%,27.50%
"ASAP Prompt 3 Handwritten (185 samples, 0-10 scale)",science (handwritten OCR),185,0.8373,0.0000,0.8263,0.0000,0.5730,0.6110,0.7156,0.8574,6.5900,6.7600,0.54%,75.14%,98.92%
